Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Maluku Tenggara,2019,2059538.89,78573.17,1291243.96,1226263.0,27828.55,-1458328.41,3225119.16
Maluku Tengah,2019,7194916.52,236884.53,2839750.81,2166764.45,29879.83,-3808477.59,8659718.56
Buru,2019,2028596.81,68257.12,1183312.75,1066285.7,19031.98,-1961412.6,2404071.76
Kepulauan Aru,2019,1643233.16,72736.4,1045084.13,1121234.95,13577.27,-419726.37,3476139.55
Seram Bagian Barat,2019,2406833.25,75804.46,1569359.94,1505480.91,32872.02,-2588679.59,3001670.99
Seram Bagian Timur,2019,1714508.39,44783.36,1486983.08,1122514.76,18327.4,-1482718.53,2904398.46
Maluku Barat Daya,2019,1073224.6,27494.73,929521.61,718485.0,13391.44,-1116585.55,1645531.83
Buru Selatan,2019,1206589.66,46045.35,993013.68,739984.73,22641.47,-1602396.02,1405878.87
Kota Ambon,2019,9707712.33,336075.43,4626145.32,3447587.76,26224.88,-3335026.79,14808718.93
Kota Tual,2019,1637883.38,49506.46,920817.86,852618.49,21830.19,-1025339.06,2457317.31
Halmahera Barat,2019,1331389.78,95975.41,780322.38,477341.02,12658.65,-455122.2,2242565.04
Halmahera Tengah,2019,800033.91,36247.18,755013.13,2054886.61,-6151.48,-1223042.62,2416986.73
Kepulauan Sula,2019,1374484.4,18379.62,603953.33,571667.97,10824.2,-94852.61,2484456.92
Halmahera Selatan,2019,3401069.86,42861.3,1093884.52,7922479.96,-68941.19,-5169930.35,7221424.1
Halmahera Utara,2019,2944958.24,81712.72,1285446.01,1726001.38,-26896.23,-418763.5,5592458.62
Halmahera Timur,2019,1500546.7,88190.47,949871.87,1872067.9,-7674.8,-918407.39,3484594.74
Pulau Morotai,2019,782935.05,8924.77,368273.11,550428.93,15776.26,-197876.58,1528461.54
Pulau Taliabu,2019,628285.02,2268.41,205083.72,843311.67,-9672.43,-219995.42,1449280.97
Kota Ternate,2019,6925790.91,149444.5,3614712.19,1662968.64,-20109.18,-1700557.48,10632249.58
Kota Tidore Kepulauan,2019,1514248.18,52488.46,2723408.86,716728.0,-6378.16,-2120011.17,2880484.17
Fakfak,2019,2786710.39,84660.93,2086879.25,1820509.45,150518.17,-1665878.18,5263400.01
Kaimana,2019,1093942.82,61576.1,1620985.15,843922.52,195841.05,-1076263.17,2740004.47
Teluk Wondama,2019,509232.43,32170.54,778298.88,466378.22,-2019.91,-222821.67,1561238.5
Teluk Bintuni,2019,1236263.84,54404.11,1509276.66,3277514.74,-983180.05,26238165.28,31332444.58
Manokwari,2019,4534008.68,229200.5,2980543.61,4167067.83,64414.72,-2208160.42,9767074.92
Sorong Selatan,2019,752535.48,45252.81,982687.16,684021.3,32036.82,-588408.96,1908124.62
Sorong,2019,2860310.34,142532.68,2004808.29,2022255.26,175792.71,3860703.01,11066402.29
Raja Ampat,2019,980662.45,49465.84,993858.17,568275.82,55584.49,312342.77,2960189.55
Tambrauw,2019,89735.35,8037.94,165036.56,63766.09,11654.2,-102041.36,236188.78
Maybrat,2019,605875.47,23310.25,652571.18,164169.01,52.15,-711099.35,734878.72
Manokwari Selatan,2019,585650.14,20333.31,334865.16,58402.82,27274.2,-181831.89,844693.73
Pegunungan Arfak,2019,117540.18,2569.0,121031.37,30711.12,597.47,-64978.78,207470.35
Kota Sorong,2019,8248098.59,127395.88,2701674.34,4037046.96,1137485.67,-355990.63,15895710.81
Merauke,2019,10870672.1,164667.48,2989595.73,3831150.45,20812.74,-1853763.16,16023135.34
Jayawijaya,2019,7447235.92,64266.91,1862422.03,3935145.23,9216.19,-4986747.02,8331539.26
Jayapura,2019,7845559.93,135893.83,2891955.51,4147990.4,9532.92,1350373.53,16381306.12
Nabire,2019,7561639.01,252862.28,1684879.73,2403313.57,9937.57,-828412.11,11084220.05
Kepulauan Yapen,2019,3020027.56,175553.65,655290.83,945930.36,2150.96,-548388.34,4250565.02
