Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Batang,2021,16173933.47,364824.14,1567301.04,6372771.65,390464.63,-1743538.94,23125755.99
Pekalongan,2021,17776946.3,411003.38,1859358.35,5612050.32,412450.38,-2041508.47,24030300.26
Pemalang,2021,21575730.96,489195.4,2185977.81,3916156.86,124918.27,-848086.57,27443892.73
Tegal,2021,30362371.21,544255.94,2392376.56,9037149.74,276434.35,-5277594.22,37334993.58
Brebes,2021,37153481.19,657754.0,2748544.42,6535766.8,64663.08,1806027.08,48966236.57
Kota Magelang,2021,5158673.63,124673.33,1590167.56,4678075.47,87945.29,-2460785.66,9178749.62
Kota Surakarta,2021,25422606.33,308215.07,4747861.63,34144309.48,305119.86,-14556548.18,50371564.19
Kota Salatiga,2021,8824965.44,143116.94,1304381.85,6390058.45,111886.4,-2765503.45,14008905.63
Kota Semarang,2021,83722820.81,1552823.44,23911681.98,134726907.8,883624.98,-39926857.31,204871001.7
Kota Pekalongan,2021,7585834.75,148786.46,1021250.1,4473125.89,29710.42,-1798124.63,11460582.99
Kota Tegal,2021,8321722.28,133960.92,1365146.19,7226241.88,68771.78,-1098798.52,16017044.53
Kulon Progo,2021,7713904.94,392601.3,1837880.27,6865636.09,55867.42,-4223328.72,12642561.31
Bantul,2021,20668269.81,899041.88,3651848.12,7155616.01,221990.24,-4470597.89,28126168.18
Gunung Kidul,2021,14126336.44,249648.46,3207743.87,6126493.97,238407.84,-3518112.49,20430518.09
Sleman,2021,31959505.41,990521.55,6832325.18,18994882.56,820789.41,-10194782.54,49403241.57
Kota Yogyakarta,2021,21710157.48,1953400.97,7538802.56,9930354.25,467054.16,-3058410.02,38541359.4
Pacitan,2021,12472589.31,354868.89,1604630.06,6820883.01,21787.89,-4893516.24,16381242.92
Ponorogo,2021,15059855.61,523855.99,2235690.04,5799629.81,16320.8,-2285344.23,21350008.03
Trenggalek,2021,13517409.67,798554.02,1972946.86,3640454.82,8469.34,-739588.15,19198246.56
Tulungagung,2021,27279415.92,680024.39,2877021.81,11197882.38,33049.15,-1900719.08,40166674.57
Blitar,2021,25807493.27,812341.72,2873408.17,10529776.85,22776.5,-2226070.97,37819725.54
Kediri,2021,31235442.9,1043552.2,3079638.03,13608341.4,232753.0,-6507016.35,42692711.18
Malang,2021,68134858.85,2705411.45,4362226.72,34122721.67,94851.09,-2383688.6,107036381.2
Lumajang,2021,23320537.48,417954.74,1979224.4,7239330.0,658401.95,63175.25,33678623.82
Jember,2021,55766356.55,1507880.35,3810976.22,14424605.2,1807389.24,3751628.55,81068836.11
Banyuwangi,2021,56257590.49,1407043.03,5974274.41,27381003.48,335384.51,-5436721.09,85918574.83
Bondowoso,2021,15586525.93,387113.34,1900982.45,5476887.92,135556.21,-2434838.81,21052227.04
Situbondo,2021,14967416.21,289324.15,2021765.32,4724479.12,88403.14,-890536.99,21200850.96
Probolinggo,2021,24572451.59,343456.68,2184448.6,9707776.27,94925.67,-1297534.87,35605523.95
Pasuruan,2021,93055561.1,1081148.62,3017112.95,49966845.26,968210.23,9061848.07,157150726.2
Sidoarjo,2021,119748764.2,2490488.64,15284234.82,62821188.15,1196123.72,9109378.52,210650178.1
Mojokerto,2021,48058968.21,1047569.33,2230455.28,23692564.41,989413.84,11126052.11,87145023.17
Jombang,2021,30930862.18,1121638.54,2947724.69,13142888.49,496928.22,-6892826.45,41747215.67
Nganjuk,2021,19526856.48,420934.62,2346586.81,7960183.24,522983.14,-2724213.57,28053330.72
Madiun,2021,14341391.6,407870.53,1823027.67,6850494.91,222086.28,-3620456.93,20024414.05
Magetan,2021,14037951.65,240241.41,1964086.79,4415304.81,66402.38,-1136114.59,19587872.44
Ngawi,2021,15089389.22,245745.31,2165789.54,4733771.6,40740.48,-1460973.56,20814462.59
Bojonegoro,2021,31815580.66,273057.03,2573212.26,16006344.54,170861.32,33361858.51,84200914.33
Tuban,2021,36148884.26,564636.5,2785917.11,24471652.61,235801.98,1704841.76,65911734.22
Lamongan,2021,29308215.19,996251.7,2811745.61,12648417.04,103843.94,-4825584.84,41042888.64
Gresik,2021,85938408.37,1024472.57,3545601.98,34584605.42,3356893.03,16206088.49,144656069.9
Bangkalan,2021,17041470.25,271345.87,2060994.25,8040364.08,331439.48,-2988906.77,24756707.15
Sampang,2021,13963752.54,336251.71,1943826.71,5835061.09,4737.3,-1444782.99,20638846.36
Pamekasan,2021,12510237.69,260756.38,2142955.42,5303643.43,92762.76,-2651134.69,17659220.99
Sumenep,2021,24373035.5,324727.85,2626430.18,8732197.34,1823.22,-758057.04,35300157.05
Kota Kediri,2021,23495874.33,281496.96,1673879.73,22024969.32,2614645.22,91376257.33,141467122.9
Kota Blitar,2021,4753387.86,80167.18,1590134.81,1387024.55,2029.05,-699146.24,7113597.21
Kota Malang,2021,51850952.81,422101.87,2405835.41,25197951.26,593289.1,-3852785.53,76617344.92
Kota Probolinggo,2021,8636738.57,215949.83,1234328.03,2179212.75,14135.04,-580461.22,11699903.01
Kota Pasuruan,2021,5902677.87,231401.09,1043559.09,1745989.65,1858.73,-434360.61,8491125.83
Kota Mojokerto,2021,4846610.83,63026.04,1103129.25,2392008.09,318.27,-1469460.15,6935632.33
Kota Madiun,2021,10413892.6,171443.1,1254044.79,2982672.65,243555.5,-630180.69,14435427.95
Kota Surabaya,2021,347292279.9,5194343.47,23720430.63,160984276.3,5487532.11,47548253.35,590227115.8
Kota Batu,2021,10988833.9,386682.14,1291819.59,5343208.81,527.1,-1169927.56,16841143.98
Pandeglang,2021,19463657.13,495693.42,2443482.94,2255604.69,127.84,5211356.09,29869922.11
Lebak,2021,21897047.65,545936.24,2379159.03,1837918.77,1.71,4170138.52,30830201.92
Tangerang,2021,74952602.15,701768.54,5010012.15,37950875.49,61.28,26668356.91,145283676.5
Serang,2021,43993210.4,494786.58,2299447.12,31879421.91,197.18,1564201.23,80231264.41
Kota Tangerang,2021,93263352.07,424298.59,3431339.45,58186086.06,520.31,-5148739.69,150156856.8
Kota Cilegon,2021,21942014.3,62656.67,1713564.48,48648156.6,4727.05,38123876.67,110494995.8
Kota Serang,2021,22890673.27,112640.26,10579824.95,12184860.94,78.88,-12264093.6,33503984.71
Kota Tangerang Selatan,2021,62689014.79,178791.89,1369038.91,41362810.84,2874.61,-17536729.37,88065801.67
Jembrana,2021,7343601.81,233994.25,1645200.6,3413466.35,49132.6,825239.35,13510634.96
Tabanan,2021,12846808.11,366676.63,2548920.29,4275619.84,25649.89,1957467.38,22021142.15
Badung,2021,24636901.57,329607.66,4126122.67,18938834.47,159007.02,-3308393.21,44882080.18
Gianyar,2021,14522128.72,266234.1,2096974.3,9451603.96,40438.2,-589152.24,25788227.04
Klungkung,2021,4872890.51,137357.77,1502164.96,2624447.05,19652.6,-622079.98,8534432.93
Bangli,2021,4276607.27,119181.97,1286158.78,2580037.26,19823.78,-1456250.68,6825558.37
Karangasem,2021,9830094.16,324799.21,1697691.77,2360564.02,37747.91,2255727.79,16506624.87
Buleleng,2021,17893467.28,636901.43,3408102.27,7793403.98,51003.54,3580409.79,33363288.29
Kota Denpasar,2021,25581389.87,821092.73,8036774.04,16412764.87,103969.93,-1269364.55,49686626.87
Lombok Barat,2021,11512467.1,322847.53,2382033.79,6014598.21,30068.79,-4854747.38,15407268.04
Lombok Tengah,2021,12761563.91,214957.12,2474091.66,9560216.46,22404.12,-7346636.03,17686597.23
Lombok Timur,2021,15631237.28,639789.05,3226851.39,7817827.09,75518.85,-6337551.92,21053671.75
Sumbawa,2021,10544422.63,209679.84,2068183.37,6116496.68,45805.18,-3963190.69,15021397.01
Dompu,2021,4959761.15,112823.04,1774121.37,2857583.99,15350.0,-2381065.96,7338573.6
Bima,2021,8100183.6,182811.77,2300114.05,4666360.88,25890.74,-3418403.49,11856957.55
Sumbawa Barat,2021,3616137.25,139295.9,1399467.09,5253791.11,69844.05,13279534.36,23758069.75
Lombok Utara,2021,3601665.25,66082.86,1334145.77,1899594.19,14369.77,-2209257.16,4706600.68
Kota Mataram,2021,12117205.86,267935.54,3122587.49,7416423.09,24588.28,-3257130.5,19691609.75
Kota Bima,2021,2825019.01,84495.99,1454904.11,1570618.56,-2812.78,-1631610.03,4300614.86
Sumba Barat,2021,1792974.49,78805.36,806799.22,880811.08,60210.45,-1202776.62,2416823.98
Sumba Timur,2021,3717285.54,220980.39,1517926.38,2648439.55,72497.68,-1770630.22,6406499.31
Kupang,2021,4041419.48,227399.69,1738485.04,3018395.61,4029.17,-1041113.65,7988615.34
Timor Tengah Selatan,2021,5809823.79,161298.21,1415547.8,2785447.08,89964.51,-2018829.21,8243252.17
Timor Tengah Utara,2021,3099332.31,159152.52,870189.16,2030744.58,75292.9,-2012013.0,4222698.47
Belu,2021,3152000.29,93686.39,1093058.03,1899757.21,110268.73,-1649753.76,4699016.88
Alor,2021,2325407.66,100256.35,1265674.8,1433072.03,29910.93,-1987357.31,3166964.46
Lembata,2021,1411306.28,64347.07,837256.1,542847.44,10867.55,-954475.85,1912148.58
Flores Timur,2021,4104448.49,199200.74,1382587.78,1418042.24,20679.1,-1744688.94,5380269.41
Sikka,2021,4027668.35,172905.76,1221981.04,2382474.42,32921.61,-2520433.29,5317517.89
Ende,2021,4218098.6,172297.18,1335302.97,3381591.3,62661.33,-2855294.77,6314656.6
Ngada,2021,2289779.83,111501.34,784070.82,983180.42,140643.22,-730847.11,3578328.53
Manggarai,2021,3198217.92,206392.13,1302938.55,2152117.97,58328.0,-2107721.81,4810272.77
Rote Ndao,2021,1929456.29,117316.28,909733.24,1082360.6,57029.76,-816638.84,3279257.33
Manggarai Barat,2021,3222035.31,61548.5,950913.88,2401310.86,27800.6,-3051973.56,3611635.58
Sumba Tengah,2021,916885.3,45830.89,598915.88,533933.5,23220.59,-888387.7,1230398.45
Sumba Barat Daya,2021,2987414.58,161720.3,914091.98,1189216.15,22631.06,-1386958.95,3888115.13
Nagekeo,2021,1741343.9,166801.03,1051745.78,785277.75,34659.57,-1432514.81,2347313.22
Manggarai Timur,2021,2570494.86,49800.76,1025718.81,1289645.47,27976.79,-1550735.5,3412901.17
Sabu Raijua,2021,859739.23,45278.98,415069.39,611892.47,0.09,-481044.37,1450935.79
Malaka,2021,2333882.54,67719.51,969743.7,1558861.58,37418.38,-2037727.63,2929898.08
Kota Kupang,2021,17181635.39,1012427.22,4938674.12,16434878.77,165345.41,-15322731.7,24410229.22
Sambas,2021,11818375.55,241195.32,2122360.85,5550735.57,399178.69,2161348.1,22293194.08
Bengkayang,2021,5329216.06,168070.16,1231253.03,2845006.84,16957.35,-271975.61,9318527.83
Landak,2021,6224351.6,143204.02,1672048.51,2781757.12,658578.72,134232.72,11614172.69
Mempawah,2021,5270489.6,35070.31,1665249.28,2285065.82,3918.53,-175279.7,9084513.84
Sanggau,2021,12008852.19,242913.33,2036113.49,7057292.6,-913420.79,1247023.55,21678774.37
Ketapang,2021,12957399.73,214693.28,2382175.63,9294926.16,-60714.69,6122835.81,30911315.92
Sintang,2021,8098313.43,188022.84,2097444.26,5272683.94,728461.61,-635847.49,15749078.6
Kapuas Hulu,2021,5830208.55,36482.27,1925026.56,3258559.5,172237.24,-150578.83,11071935.29
Sekadau,2021,3801021.17,83289.63,1082533.21,2121042.05,267037.58,-222233.7,7132689.94
Melawi,2021,3314496.66,79281.78,1320066.64,1605058.38,5291.01,-697590.05,5626604.42
Kayong Utara,2021,2434425.72,63733.03,922453.34,1301291.92,10191.17,-198003.94,4534091.24
Kubu Raya,2021,15043098.46,564130.09,1833395.0,11347492.61,2425493.18,13827.72,31227437.06
Kota Pontianak,2021,18470313.73,446208.45,4664053.97,12000922.44,-1256472.69,5877333.15,40202359.04
Kota Singkawang,2021,5405649.95,323276.9,1448573.15,3884405.02,-110623.43,-73434.89,10877846.7
Kotawaringin Barat,2021,7485373.66,239964.82,1443616.55,10130821.22,42236.09,4366741.22,23708753.57
Kotawaringin Timur,2021,10928885.15,282563.81,1835991.35,11168767.3,196635.76,5265326.17,29678169.54
Kapuas,2021,8150471.21,331518.69,1748742.13,7241218.91,151406.23,1072579.22,18695936.39
Barito Selatan,2021,3275440.22,275782.86,1025405.17,3489977.17,123993.54,-1509465.7,6681133.27
Barito Utara,2021,4332003.15,213028.83,1077550.18,4661326.21,160480.31,120837.33,10565226.0
Sukamara,2021,1446996.87,76115.52,579553.22,1939136.5,379.88,901486.71,4943668.71
Lamandau,2021,1964253.99,46938.17,703655.98,2677939.37,51543.42,1122263.53,6566594.46
Seruyan,2021,4042387.06,69398.06,877558.39,3866859.21,40809.22,993054.41,9890066.35
Katingan,2021,4825306.29,118940.72,1552716.41,4069285.23,1586.76,-1526974.94,9040860.46
Pulang Pisau,2021,2859093.02,62842.92,1123093.58,2776111.13,-6987.38,-844457.33,5969695.94
Gunung Mas,2021,3387785.93,122627.02,1026502.18,3474926.17,167773.13,-1006382.69,7173231.74
Barito Timur,2021,3032620.16,65849.24,1189297.88,3136021.39,134356.98,391801.58,7949947.24
Murung Raya,2021,3433877.77,59441.01,1388833.63,3253201.31,87787.52,694452.0,8917593.23
Kota Palangka Raya,2021,8047316.69,498469.9,6906412.61,7396269.15,186514.28,-3385815.69,19649166.94
Tanah Laut,2021,6705900.34,170496.39,1502812.33,3204491.21,3604.28,3745563.69,15332868.24
Kota Baru,2021,7060713.82,161044.14,2194743.89,4766283.81,6696.57,12302980.93,26492463.15
Banjar,2021,11857460.47,175771.7,2316567.52,5576963.65,1325.86,-1993216.07,17934873.13
Barito Kuala,2021,6062597.12,147099.59,1364549.86,2747038.91,2698.66,-1149062.67,9174921.47
Tapin,2021,4027296.21,148386.21,1425420.08,1935697.9,339.67,1850269.64,9387409.72
Hulu Sungai Selatan,2021,4865285.66,127467.22,1419613.88,2015263.64,1930.45,-1303848.49,7125712.36
Hulu Sungai Tengah,2021,5348813.11,136830.59,1413999.21,2184850.69,1214.6,-1691847.08,7393861.12
Hulu Sungai Utara,2021,4442945.02,130477.7,1295303.9,1418400.47,4.41,-2033682.64,5253448.85
Tabalong,2021,5424739.02,134240.28,1710914.97,2971395.39,14501.06,9684146.72,19939937.43
Tanah Bumbu,2021,6993204.12,141831.79,1587792.21,3485549.07,21259.55,10434412.63,22664049.36
Balangan,2021,2586192.01,113207.97,1109308.22,2516053.97,2664.18,6034184.22,12361610.56
Kota Banjarmasin,2021,20875312.61,228735.66,3834879.04,9863134.07,36719.29,-242715.67,34596065.0
Kota Banjar Baru,2021,4993265.31,205343.83,2513681.23,4113805.47,3878.23,-1826894.02,10003080.05
Paser,2021,6611299.29,84989.8,1710946.77,9598400.65,14109.82,35869202.24,53888948.57
Kutai Barat,2021,4876680.83,278968.43,2286028.22,11102318.42,8991.12,13540149.0,32093136.01
Kutai Kartanegara,2021,19718550.12,592463.45,4646235.71,64380941.0,78418.02,87999975.86,177416584.2
Kutai Timur,2021,8556744.62,337962.96,2332773.35,26089613.79,59955.83,99240522.75,136617573.3
Berau,2021,5063074.88,370713.55,1448877.84,8181979.3,4436.12,27967401.79,43036483.47
Penajam Paser Utara,2021,4076987.51,63108.98,1105584.33,4147484.83,9491.38,687251.09,10089908.12
Mahakam Ulu,2021,716001.74,29606.74,365235.32,897158.39,1741.55,963121.86,2972865.58
Kota Balikpapan,2021,27475244.75,602372.2,3434328.14,47633995.95,38423.73,32216328.95,111400693.7
Kota Samarinda,2021,32216166.78,737594.84,10093026.57,29452612.33,156131.73,-1484984.45,71170547.8
Kota Bontang,2021,6191097.86,320890.37,1109195.08,7952000.67,11518.09,42363424.24,57948126.32
Malinau,2021,2443118.58,119845.03,1654735.09,4088753.97,84654.47,4467661.51,12858768.65
Bulungan,2021,3638437.59,142615.26,2346512.64,10389956.24,26419.27,3695955.13,20239896.13
Tana Tidung,2021,489289.93,80389.0,738604.0,2101267.53,36728.0,3287884.72,6734163.18
Nunukan,2021,4198574.5,90453.63,1368093.32,6526027.07,34845.05,17555285.58,29773279.15
Kota Tarakan,2021,5739467.47,334514.14,1607615.26,8744934.12,150543.84,25281223.51,41858298.34
Bolaang Mongondow,2021,3909491.54,84251.38,1243945.79,2494257.39,321.19,1237911.16,8970178.47
Minahasa,2021,7510293.11,927037.0,1464767.31,7910053.61,159.31,830830.32,18643140.67
Kepulauan Sangihe,2021,2375482.5,74516.08,978519.81,1378254.4,1662.11,-17324.72,4791110.18
Kepulauan Talaud,2021,1623454.9,46650.68,683820.59,785949.06,1063.5,-719062.21,2421876.51
Minahasa Selatan,2021,4399891.52,349940.8,1106163.25,3674384.46,1156.72,50289.58,9581826.32
Minahasa Utara,2021,6110807.82,262993.88,953838.43,6781348.06,229.64,1590147.75,15699365.59
Bolaang Mongondow Utara,2021,1316330.1,40999.23,532514.77,736145.63,252.36,101730.89,2727972.97
Siau Tagulandang Biaro,2021,1598037.01,171398.8,834643.38,776438.27,140.51,-753707.4,2626950.56
Minahasa Tenggara,2021,2939588.19,171997.44,648549.31,2594253.27,82.14,-730845.31,5623625.04
Bolaang Mongondow Selatan,2021,1132162.1,28134.4,362235.14,588330.08,26.15,185504.67,2296392.54
Bolaang Mongondow Timur,2021,1562131.15,31616.77,591337.02,628489.07,244.82,432678.36,3246497.2
Kota Manado,2021,15808002.68,608890.73,4378183.75,13833817.71,189.69,4901916.25,39531000.8
Kota Bitung,2021,6751859.38,243969.04,1319266.88,5327614.74,2565.29,5032354.48,18677629.81
Kota Tomohon,2021,2361443.24,61538.27,755148.77,2623433.73,1008.04,-1215959.62,4586612.44
Kota Kotamobagu,2021,2406060.5,66763.34,689714.73,1197265.6,313.06,-327739.72,4032377.5
Banggai Kepulauan,2021,2613689.99,39780.43,680339.15,649531.74,280.14,146493.77,4130115.22
Banggai,2021,11480670.32,491564.2,3111216.2,8224069.97,217569.28,7300003.03,30825093.0
Morowali,2021,5705772.57,133726.75,846473.5,45313104.41,265090.65,46652639.54,98916807.42
Poso,2021,5757102.69,159967.98,2038545.29,4432354.65,55561.0,-2512101.0,9931430.61
Donggala,2021,6912438.96,176214.28,1754731.41,4341766.47,130729.01,-757563.64,12558316.49
Toli-Toli,2021,4872801.19,106229.15,1433676.59,2932365.52,160918.56,-604777.22,8901213.79
Buol,2021,3443665.34,72936.16,1155804.39,2130820.81,8441.26,-678570.36,6133097.6
Parigi Moutong,2021,11409742.57,989720.32,2300347.13,8933554.31,24722.48,-5219134.71,18438952.1
Tojo Una-Una,2021,3300887.23,92037.96,1338438.45,1562523.32,22884.14,-377780.66,5938990.44
Sigi,2021,5552867.25,244860.59,1534837.39,4424728.14,11278.65,-2040189.55,9728382.47
Banggai Laut,2021,1941594.9,23530.06,479484.04,319177.03,81191.09,-319213.69,2525763.43
Morowali Utara,2021,5108042.85,100505.67,990273.63,11380083.65,65644.25,-4546664.78,13097885.27
Kota Palu,2021,15047653.0,836295.96,3880363.96,12488351.33,151737.3,-6233746.25,26170655.3
Kepulauan Selayar,2021,3448610.26,82784.93,1061544.86,3079948.59,11095.74,-848588.44,6835395.93
Bulukumba,2021,9561834.56,181324.82,1894300.9,4342209.84,13224.23,-124030.01,15868864.34
Bantaeng,2021,5164395.06,183377.06,1228297.87,5320839.85,12874.21,-1828385.19,10081398.85
Jeneponto,2021,7166227.18,267085.54,1402026.17,4119837.97,15188.3,-1917111.6,11053253.56
Takalar,2021,6665832.07,185005.09,1446364.35,2319378.99,57640.56,451885.84,11126106.9
Gowa,2021,13983502.56,422956.17,2632778.47,7350531.69,7896.42,-860827.57,23536837.73
Sinjai,2021,6632153.23,139965.15,1232782.95,4920123.97,10975.69,-638920.87,12297080.12
Maros,2021,11643886.57,328550.0,1723687.58,5927408.91,-24406.43,-593515.16,19005611.47
Pangkajene dan Kepulauan,2021,11334588.94,306095.71,1371015.65,4546631.4,56930.19,9959476.5,27574738.39
Barru,2021,4755255.73,51834.2,1082486.67,3781642.15,4821.84,-1618783.36,8057257.24
Bone,2021,21634834.76,415165.77,4135417.0,13694396.02,10158.98,-520008.36,39369964.17
Soppeng,2021,6413701.06,158591.75,1117016.62,5046354.11,11949.84,-320831.76,12426781.61
Wajo,2021,13623866.09,287520.4,1668928.99,6690717.98,224420.8,-175709.78,22319744.48
Sidenreng Rappang,2021,8483865.97,264043.17,1466610.98,6266995.02,-12410.21,-1218977.57,15250127.36
Pinrang,2021,12238913.22,187117.07,1717770.17,7447159.21,344262.73,-176645.47,21758576.93
Enrekang,2021,4741718.55,101783.95,1279279.11,3204977.46,16559.69,-1140212.69,8204106.07
Luwu,2021,10015542.7,186200.33,1552898.52,6489854.5,35861.85,-440367.44,17839990.46
Tana Toraja,2021,4712669.33,139528.11,1190147.18,2671252.39,13273.14,-639778.61,8087091.55
Luwu Utara,2021,8109892.87,157877.35,1614287.01,4373830.99,986.15,151506.71,14408381.08
Luwu Timur,2021,9656948.48,245209.18,1123791.66,7065108.48,-14026.36,5537483.59,23614515.03
Toraja Utara,2021,5900101.53,266625.01,1517906.41,3762626.12,101237.59,-1204197.7,10344298.97
Kota Makasar,2021,97357472.67,3255888.18,16698002.45,94576603.88,-493365.96,-21076535.93,190318065.3
Kota Parepare,2021,4217417.87,45958.38,1127111.88,3258408.18,2693.9,-825351.96,7826238.24
Kota Palopo,2021,4820053.8,124060.24,1285408.01,3459515.76,3263.67,-977989.59,8714311.89
Buton,2021,2201849.88,51831.69,616728.42,1513705.78,949.62,-348771.04,4036294.35
Muna,2021,4676439.69,74493.74,1351287.0,2554888.02,196764.47,-1488362.13,7365510.8
Konawe,2021,5831570.45,114165.52,1393300.81,3328968.83,1740.62,872548.31,11542294.53
Kolaka,2021,6647308.33,165565.57,1129049.48,13192452.02,4233.62,6394039.07,27532648.08
Konawe Selatan,2021,6929751.91,192189.73,1371472.35,4520144.01,24914.06,-383787.41,12654684.64
Bombana,2021,3469042.19,84346.84,767116.88,2166767.59,45816.47,380244.38,6913334.35
Wakatobi,2021,2179925.12,75444.73,1043477.39,1393043.54,81659.41,-64799.68,4708750.5
Kolaka Utara,2021,4215051.07,76445.76,761071.05,3716775.48,13355.16,404045.53,9186744.05
Buton Utara,2021,1464288.07,27151.03,645257.17,1376649.52,7247.04,-99875.92,3420716.92
Konawe Utara,2021,1486387.58,57154.12,560984.95,1144056.55,1104.33,1012873.44,4262560.98
Kolaka Timur,2021,3043884.2,38797.05,473420.88,1853627.06,33463.11,-609147.16,4834045.14
Konawe Kepulauan,2021,781514.98,17592.93,462392.3,481696.77,1185.38,-276565.85,1467816.51
Muna Barat,2021,2387698.58,33470.63,432896.34,1293615.65,45969.14,-1404140.18,2789510.16
Buton Tengah,2021,1508137.83,28701.52,332945.66,1036585.61,966.7,-371239.7,2536097.61
Buton Selatan,2021,1731649.03,34386.41,405685.09,1201792.02,1330.47,-380871.86,2993971.15
Kota Kendari,2021,13097532.01,217694.84,6142703.92,10084064.27,-319130.76,-5531549.77,23691314.51
Kota Baubau,2021,5557092.76,104240.36,1396305.88,4522913.19,475828.81,-2428813.87,9627567.12
Boalemo,2021,3511183.68,32053.1,1026644.19,1096396.18,114367.05,-47800.31,5732843.89
Gorontalo,2021,8641340.65,112696.94,1945300.71,4548987.22,155653.96,-1690016.39,13713963.08
Pohuwato,2021,3997407.69,40030.98,1037407.21,1359490.49,110879.2,510331.08,7055546.65
Bone Bolango,2021,3008147.54,28942.03,1216475.82,1295983.42,94931.58,-768541.74,4875938.64
Gorontalo Utara,2021,2178765.83,54913.5,701200.16,1068679.71,45887.17,-457024.0,3592422.36
Kota Gorontalo,2021,5933439.98,55792.23,2768218.1,2986976.66,122390.26,-2879254.71,8987562.53
Majene,2021,3335394.83,55260.89,1136038.75,1368476.84,-146494.05,-544320.57,5204356.69
Polewali Mandar,2021,8763073.62,73921.91,1630146.12,3537988.33,341587.77,-534231.23,13812486.52
Mamasa,2021,2285574.53,55485.66,811964.57,905492.37,-103490.92,-828107.56,3126918.64
Mamuju,2021,6199462.25,84920.56,3045286.14,3857188.61,-302185.68,-463555.67,12421116.2
Mamuju Utara,2021,3088687.19,48090.69,713734.15,3652957.63,-116183.42,4999179.15,12386465.39
Mamuju Tengah,2021,2080907.09,37525.46,473950.96,886393.04,135127.81,-56038.68,3557865.68
Maluku Tenggara Barat,2021,2315954.06,119589.94,1156085.77,1576839.53,36590.45,-2336915.76,2868143.99
Maluku Tenggara,2021,2144831.0,86926.73,1206999.76,1312864.68,29366.58,-1349656.56,3431332.18
Maluku Tengah,2021,7556655.36,262853.29,2367089.95,2339089.37,31430.48,-3448740.04,9108378.41
Buru,2021,2109598.51,74686.63,1052612.69,1115600.08,20436.24,-1847176.46,2525757.68
Kepulauan Aru,2021,1739150.13,80947.37,959468.96,1186351.44,14252.19,-310341.4,3669828.68
Seram Bagian Barat,2021,2473485.31,82845.67,1453563.75,1651067.64,33631.62,-2521550.39,3173043.6
Seram Bagian Timur,2021,1816687.5,49909.7,1334961.29,1195548.64,19133.35,-1238529.4,3177711.08
Maluku Barat Daya,2021,1106671.37,28618.64,804156.85,743946.72,14380.58,-708573.27,1989200.9
Buru Selatan,2021,1270862.5,51892.62,883451.35,792339.35,24040.31,-1534201.78,1488384.34
Kota Ambon,2021,10276056.87,368675.83,4198147.57,3639777.9,28451.93,-2937027.22,15574082.87
Kota Tual,2021,1736424.55,54736.1,865935.73,912801.83,23142.66,-969785.54,2623255.33
Halmahera Barat,2021,1523542.16,99149.4,635320.63,241239.83,-18306.51,-133718.14,2347227.38
Halmahera Tengah,2021,894602.55,34481.81,893330.44,14813406.01,-25712.13,-6942836.55,9667272.13
Kepulauan Sula,2021,1507342.54,18664.73,570486.54,387051.0,-26596.07,141582.11,2598530.85
Halmahera Selatan,2021,3725712.43,42290.74,1062030.41,4512041.73,290101.39,1291504.97,10923681.67
Halmahera Utara,2021,3183270.84,73648.9,1346273.19,1619374.42,-101936.24,-114987.83,6005643.28
Halmahera Timur,2021,1622402.48,89390.95,905316.59,1472066.99,7125.56,-165985.87,3930316.71
Pulau Morotai,2021,874101.37,8219.55,359722.45,650343.83,-48146.23,-202295.07,1641945.9
Pulau Taliabu,2021,700887.11,2278.65,197930.04,733450.12,-9786.22,92812.48,1717572.18
Kota Ternate,2021,7301139.85,136416.12,3404018.9,1718586.7,-178167.07,-1411823.95,10970170.54
Kota Tidore Kepulauan,2021,1702337.66,51538.12,2584353.45,726262.29,-14689.06,-2021503.07,3028299.4
Fakfak,2021,2845602.35,81989.08,1832905.7,1967470.52,26892.73,-1414382.14,5340478.25
Kaimana,2021,1164775.34,57361.87,1189549.74,792174.41,53637.12,-585099.11,2672399.36
Teluk Wondama,2021,539632.33,30830.13,730222.24,493593.28,-2894.38,-232037.31,1559346.28
Teluk Bintuni,2021,1312746.05,56063.63,1589709.46,3418738.64,-401464.87,25404760.01,31380552.91
Manokwari,2021,4598319.57,206246.49,2901777.45,4253811.96,-147436.13,-1977854.84,9834864.51
Sorong Selatan,2021,792026.59,44020.32,971094.88,709095.74,53068.29,-604176.53,1965129.27
Sorong,2021,2989436.1,133915.71,1796135.97,2146977.84,-92891.52,4263127.45,11236701.56
Raja Ampat,2021,1068547.99,46251.73,1002709.04,617381.13,-36553.78,736504.34,3434840.44
Tambrauw,2021,94663.14,8102.96,180935.92,65492.78,1188.53,-106693.58,243689.75
Maybrat,2021,630288.41,23701.56,679303.16,176137.32,-9.0,-758127.46,751293.99
Manokwari Selatan,2021,613918.75,20800.05,356744.71,71089.54,-71137.16,-131946.6,859469.3
Pegunungan Arfak,2021,123036.58,2626.75,139731.86,59253.07,-10129.58,-71557.83,242960.85
Kota Sorong,2021,8729358.85,104847.42,2442073.38,3913370.02,-514905.2,921968.88,15596713.35
