Kepulauan Mentawai;2484444.95;2368836.86;2474647.22;43841.1;41610.66;43098.83;841401.95;778184.14;805932.77;1434446.3;1394199.75;1462993.41;173.95;628.91;5619.42;-139214.81;63638.85;51622.3;4665093.44;4647099.18;4843913.95
Pesisir Selatan;7769709.4;7432020.06;7763132.16;166497.27;158856.35;164283.85;1741398.99;1602323.11;1630023.45;4255171.36;4184544.27;4379844.92;4901.54;17369.24;40905.11;99450.1;700864.59;948383.09;14037128.66;14095977.62;14926572.58
Solok;7754387.42;7493122.86;7849412.17;124518.18;121201.94;125601.86;1543092.02;1425313.4;1466197.1;4314743.32;4192186.7;4391684.02;2597.12;9262.74;15398.98;-158825.04;340880.94;329768.08;13580513.02;13581968.58;14178062.2
Sijunjung;5170944.66;4948219.11;5160214.74;76469.85;74286.86;77008.87;1015794.15;931024.78;965608.3;3072901.23;2999131.97;3102618.22;1796.94;9859.67;21291.72;-189027.87;174037.32;240931.85;9148878.97;9136559.73;9567673.69
Tanah Datar;7741624.36;7492535.89;7862376.37;173996.24;165516.62;172209.45;1633521.77;1504784.44;1556569.56;4213423.23;4127989.39;4309382.73;958.98;3618.84;16802.69;-672838.87;-271337.58;-326405.1;13090685.71;13023107.59;13590935.7
Padang Pariaman;10869391.64;10683044.18;11156066.17;237601.21;227226.65;236070.24;1839091.49;1685832.97;1806929.75;5946754.07;5954113.36;6207972.35;421.3;1644.36;60079.44;2362213.63;-617046.92;-1012029.92;21255473.34;17934814.6;18455088.03
Agam;11537249.35;11189357.83;11700972.02;240899.68;232752.44;239893.55;1750985.08;1597931.83;1653569.91;6105617.43;6003456.2;6316529.7;308.15;1095.88;14626.3;905932.48;1351976.07;1514820.97;20540992.18;20376570.25;21440412.46
Lima Puluh Kota;8751049.54;8402203.28;8811137.67;175689.06;170764.75;176435.55;1505655.05;1387114.73;1424719.98;4843161.71;4789530.07;5017723.53;405.09;1494.45;8321.74;349379.96;790393.53;744054.96;15625340.42;15541500.82;16182393.43
Pasaman;4988637.55;4786526.01;5015818.8;106573.13;101634.17;105096.33;1127595.93;1040051.27;1071082.35;2798457.07;2746349.09;2882060.91;2051.39;6929.93;24323.73;-115546.56;288233.55;334067.6;8907768.5;8969724.02;9432449.73
Solok Selatan;3218709.29;3056933.49;3189132.36;68159.68;66816.77;69367.51;713499.58;660268.43;671892.34;1671359.2;1656231.64;1703595.43;227.91;860;5067.76;-97436.57;89443.26;138922.53;5574519.08;5530553.59;5777977.93
