,Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
257,Kota Blitar,2019,4610130.0,76078.23,1672282.82,1412283.61,2554.84,-981710.11,6791619.37
258,Kota Malang,2019,51657042.11,364660.93,2489887.9,25587890.37,794567.69,-8129843.56,72764205.45
259,Kota Probolinggo,2019,8242672.08,203200.5,1317218.41,2236571.28,29245.79,-679729.84,11349178.22
260,Kota Pasuruan,2019,5732492.92,204062.06,1119186.73,1773215.36,2647.05,-543784.65,8287819.46
261,Kota Mojokerto,2019,4721124.87,59547.93,1166741.4,2421753.8,675.62,-1568147.03,6801696.59
262,Kota Madiun,2019,10064007.39,157904.39,1287032.95,2926827.4,371604.23,-700036.46,14107339.9
263,Kota Surabaya,2019,345804899.3,4840907.0,27118221.92,168579066.2,7933633.95,26211800.72,580488529.0
264,Kota Batu,2019,10580159.49,368028.74,1379978.31,5401968.26,764.32,-805907.93,16924991.2
265,Pandeglang,2019,18667182.42,512250.98,2394036.39,2092083.15,394.16,4265176.66,27931123.75
266,Lebak,2019,20534455.71,538018.49,2359826.52,1672599.04,17.0,3620364.54,28725281.3
267,Tangerang,2019,72998709.26,710429.81,5031644.99,35233021.19,4346.34,26111135.99,140089287.6
268,Serang,2019,42974378.89,515493.6,2379894.89,28993943.18,647.51,2042036.99,76906395.06
269,Kota Tangerang,2019,91238524.36,432217.16,3619648.56,53478565.39,6391.41,22957099.39,171732446.3
270,Kota Cilegon,2019,20958768.98,59902.46,1659661.09,44513834.15,28161.2,36710735.68,103931063.6
271,Kota Serang,2019,21862336.74,112475.93,10724933.06,11431583.27,1181.15,-12529932.9,31602577.25
272,Kota Tangerang Selatan,2019,59941437.72,175834.61,1437285.38,37549602.57,44781.61,-16379460.22,82769481.67
273,Jembrana,2019,7239677.19,227402.26,1691036.04,3568849.12,57678.26,1352053.28,14136696.15
274,Tabanan,2019,12671617.94,357524.27,2514224.3,4795551.29,31016.89,3425997.44,23795932.13
275,Badung,2019,24356432.66,327838.02,4364592.18,22461077.06,185773.26,11140400.51,62836113.71
276,Gianyar,2019,14247210.75,268732.24,2220434.75,9953124.11,51236.03,1779538.78,28520276.65
277,Klungkung,2019,4786620.35,135003.09,1442295.69,2803393.8,23842.24,-91651.06,9099504.1
278,Bangli,2019,4127325.57,115550.8,1212781.98,2540438.46,22335.46,-1024789.82,6993642.45
279,Karangasem,2019,9527144.38,315653.61,1674323.4,2458529.35,41759.01,3069470.29,17086880.04
280,Buleleng,2019,17680739.12,623677.04,3491354.98,8297540.4,54709.33,5214294.78,35362315.65
281,Kota Denpasar,2019,25855845.93,814211.04,7864038.22,19017842.31,129729.27,1774377.29,55456044.06
282,Lombok Barat,2019,11248743.5,304924.0,2255657.85,6039787.33,59860.49,-4456894.2,15452078.97
283,Lombok Tengah,2019,12505642.56,211154.94,2348134.32,8135041.77,50806.17,-5403481.5,17847298.26
284,Lombok Timur,2019,15182446.77,636888.0,3070565.0,7584439.6,74204.51,-6236401.79,20312142.09
285,Sumbawa,2019,10462271.33,206479.35,1969402.16,6119470.23,94110.33,-4048448.08,14803285.32
286,Dompu,2019,4876073.97,107559.6,1706902.91,2814461.36,29363.22,-2369688.17,7164672.91
287,Bima,2019,8014822.11,179435.53,2197484.8,4669419.01,47851.46,-3478099.42,11630913.49
288,Sumbawa Barat,2019,3524864.67,138030.09,1360262.28,5027268.59,386591.24,6994920.37,17431937.24
289,Lombok Utara,2019,3644142.79,63727.62,1288196.53,1921672.64,14477.39,-2069571.1,4862645.87
290,Kota Mataram,2019,11740012.45,264302.77,2902986.73,7588778.04,39243.26,-3057944.43,19477378.82
291,Kota Bima,2019,2852748.58,88669.98,1447812.43,1633897.59,20667.76,-1776341.48,4267454.87
292,Sumba Barat,2019,1769427.83,76915.32,937046.45,859158.45,52253.56,-1360531.06,2334270.55
293,Sumba Timur,2019,3654082.65,209550.39,1701200.89,2592045.9,63381.41,-1964083.7,6256177.54
294,Kupang,2019,3963272.61,223800.24,1908440.6,2958227.53,3592.37,-1455211.14,7602122.2
295,Timor Tengah Selatan,2019,5612919.64,156317.78,1629939.77,2758615.4,77236.16,-2315400.86,7919627.89
296,Timor Tengah Utara,2019,3141188.78,157089.31,985200.77,2043731.22,66578.12,-2304883.54,4088904.66
297,Belu,2019,3100712.83,90012.2,1242706.89,1894035.41,92614.36,-1937827.24,4482254.45
298,Alor,2019,2283972.16,95624.61,1441915.89,1419382.43,26849.66,-2212702.56,3055042.2
299,Lembata,2019,1405628.46,61472.1,951282.73,544433.77,9290.71,-1115301.13,1856806.64
300,Flores Timur,2019,4068714.33,197044.46,1540604.14,1451471.6,17168.15,-2028934.04,5246068.64
301,Sikka,2019,4059216.78,167152.48,1357630.95,2370004.07,28977.01,-2860988.73,5121992.55
302,Ende,2019,4254628.08,167294.02,1495216.03,3376534.52,53661.86,-3242141.72,6105192.79
303,Ngada,2019,2183660.54,106909.72,934724.96,951850.2,123365.52,-827491.58,3473019.37
304,Manggarai,2019,3111159.99,179019.77,1425402.17,2163252.53,50592.81,-2252312.98,4677114.28
305,Rote Ndao,2019,1920371.97,114156.41,986736.63,1061104.6,48731.14,-997117.06,3133983.68
306,Manggarai Barat,2019,3192341.73,57111.31,1043792.09,2131837.47,26604.54,-2985307.44,3466379.69
307,Sumba Tengah,2019,902206.52,44145.21,665899.74,521100.39,20488.6,-977206.17,1176634.28
308,Sumba Barat Daya,2019,2826921.56,149573.02,1061556.38,1137231.98,18942.37,-1439527.41,3754697.9
309,Nagekeo,2019,1724724.96,163580.84,1157681.9,758229.82,30816.36,-1593668.29,2241365.6
310,Manggarai Timur,2019,2457999.71,46463.61,1098079.75,1253628.6,22304.21,-1665526.55,3212949.34
311,Sabu Raijua,2019,828672.94,42574.4,463336.61,584597.65,0.07,-502447.62,1416734.04
312,Malaka,2019,2273211.98,67189.95,1054613.25,1572461.56,31024.71,-2218351.01,2780150.45
313,Kota Kupang,2019,17601082.38,975532.76,5590747.14,17128368.03,137354.7,-17022134.32,24410950.69
314,Sambas,2019,11129214.47,213753.61,1898718.55,5257329.35,222996.54,1807963.94,20529976.46
315,Bengkayang,2019,5051346.12,154905.37,1205726.46,2698600.85,37006.43,-502582.28,8645002.95
316,Landak,2019,5967802.06,137831.82,1596493.04,2720258.67,494610.16,-370091.12,10546904.63
317,Mempawah,2019,4858776.61,33384.99,1591719.07,2143325.64,31274.79,-360326.47,8298154.64
318,Sanggau,2019,11340347.86,227559.57,1959195.39,7350932.51,307148.23,-2026609.18,19158574.37
319,Ketapang,2019,12550124.87,208820.82,2332460.17,9701192.06,208836.28,2487279.29,27488713.49
320,Sintang,2019,7875784.93,179858.78,1973266.64,5235800.12,306521.52,-889812.15,14681419.84
321,Kapuas Hulu,2019,5739712.94,34546.73,1813004.95,3189632.72,202222.31,-773423.61,10205696.04
322,Sekadau,2019,3571529.92,79942.71,980507.35,2034226.46,79596.84,-313514.37,6432288.91
323,Melawi,2019,3158792.76,72009.04,1226540.81,1501995.24,123389.57,-938978.84,5143748.58
324,Kayong Utara,2019,2327517.26,59698.17,862049.39,1228896.35,12153.81,-357192.76,4133122.22
325,Kubu Raya,2019,14224679.32,525904.15,1762383.88,10607723.86,848929.14,1135474.52,29105094.88
326,Kota Pontianak,2019,17693666.71,399942.08,4393960.14,12295409.14,1175330.33,2749907.56,38708215.95
327,Kota Singkawang,2019,5152511.54,314320.64,1310898.63,3777212.65,56555.47,-383108.43,10228390.5
328,Kotawaringin Barat,2019,7017007.83,240389.4,1247512.05,9748873.65,-12742.41,1091057.52,19332098.04
329,Kotawaringin Timur,2019,10178809.84,258244.54,1662666.07,10905995.32,116643.63,3687148.63,26809508.03
330,Kapuas,2019,7431818.62,276393.64,1600649.31,6638323.51,317546.25,352107.37,16616838.7
331,Barito Selatan,2019,3056060.01,220312.36,943984.63,3199290.69,195103.96,-1245625.5,6369126.15
332,Barito Utara,2019,3923666.02,192593.26,1025168.24,4346289.51,300586.64,12815.92,9801119.59
333,Sukamara,2019,1329162.17,66825.11,547754.24,1745555.1,-1137.91,505325.2,4193483.92
334,Lamandau,2019,1748683.07,41037.94,623868.22,2412929.86,61207.82,602208.69,5489935.61
335,Seruyan,2019,3715758.78,67189.97,752948.0,3576091.75,-23599.85,463821.27,8552209.91
336,Katingan,2019,4240045.74,99335.39,1337025.76,3865729.45,25295.27,-1343696.95,8223734.66
337,Pulang Pisau,2019,2658929.95,53762.58,1053175.96,2583575.98,-10428.92,-1041066.92,5297948.62
338,Gunung Mas,2019,3073444.08,113708.33,842772.68,3127673.99,343336.76,-1763035.35,5737900.49
339,Barito Timur,2019,2839335.83,60991.18,1028546.84,3027854.65,241721.51,350051.93,7548501.93
340,Murung Raya,2019,3125868.6,54411.69,1251978.36,2973414.51,105932.73,626519.33,8138125.22
341,Kota Palangka Raya,2019,7507883.87,456047.62,6055622.58,6844354.42,282474.02,-2815662.99,18330719.52
342,Tanah Laut,2019,6515070.97,166690.68,1365330.44,3145520.06,7287.58,2702397.35,13902297.08
343,Kota Baru,2019,6792703.83,156869.68,2031908.99,4584643.78,37135.2,10510085.18,24113346.66
344,Banjar,2019,11306007.3,168042.41,2296329.95,5319083.24,6702.95,-2470090.27,16626075.57
345,Barito Kuala,2019,5833548.07,141541.08,1264707.31,2620233.89,21626.21,-1185328.68,8696327.87
346,Tapin,2019,3872443.45,141494.02,1296864.62,1876870.22,13394.95,1237182.14,8438249.39
347,Hulu Sungai Selatan,2019,4637275.92,122041.26,1339239.86,1943832.41,19412.78,-1506323.04,6555479.18
348,Hulu Sungai Tengah,2019,5062678.44,134449.0,1316210.86,2154468.43,1903.72,-1630321.42,7039389.04
349,Hulu Sungai Utara,2019,4282222.75,124827.85,1204775.89,1346111.89,231.01,-2017901.39,4940268.0
350,Tabalong,2019,5107051.7,130136.22,1593558.14,2793784.42,44130.45,8506752.67,18175413.59
351,Tanah Bumbu,2019,6715216.58,137122.08,1513785.74,3367800.74,213877.5,8088244.41,20036047.04
352,Balangan,2019,2488039.83,112577.21,1108119.82,2464840.92,50918.59,4803164.92,11027661.3
353,Kota Banjarmasin,2019,20110151.32,224752.23,3515256.09,9532895.59,217813.45,-588275.6,33012593.07
354,Kota Banjar Baru,2019,4822372.72,203656.65,2308036.4,4082633.16,49266.17,-1764864.28,9701100.82
355,Paser,2019,6231558.24,81396.67,1592219.86,9702376.46,45300.83,30373039.14,48025891.19
356,Kutai Barat,2019,4621899.16,264847.95,2122047.36,10633768.75,29012.48,11463569.6,29135145.3
357,Kutai Kartanegara,2019,19190531.76,564758.79,4302016.06,57344561.15,122337.89,80581338.3,162105543.9
358,Kutai Timur,2019,8053554.9,310212.76,2314685.5,21746475.45,165562.53,101283021.5,133873512.6
359,Berau,2019,4813637.27,351693.22,1482784.86,8070016.66,15639.08,24370922.48,39104693.57
360,Penajam Paser Utara,2019,3811130.73,59190.23,1093296.13,3364213.73,25645.56,771465.68,9124942.07
361,Mahakam Ulu,2019,658865.09,29196.07,348952.14,779772.99,5176.04,896263.24,2718225.58
362,Kota Balikpapan,2019,26241701.3,558652.09,3316985.17,41926292.15,102632.93,32992304.46,105138568.1
363,Kota Samarinda,2019,30386157.95,697650.96,8660342.67,27864155.41,225554.6,-229320.85,67604540.75
364,Kota Bontang,2019,5827578.5,313941.79,1014510.17,7263350.53,26245.46,43561030.1,58006656.54
365,Malinau,2019,2379431.58,115507.67,1539744.19,4033830.63,75353.51,2474507.96,10618375.54
366,Bulungan,2019,3453882.46,132321.27,2122197.24,10146648.62,23251.12,2465746.21,18344046.92
367,Tana Tidung,2019,471701.59,77802.3,669766.33,2022292.59,33470.22,2388515.67,5663548.71
368,Nunukan,2019,4067967.42,88353.07,1267289.86,6370366.76,31284.0,13605603.33,25430864.44
369,Kota Tarakan,2019,5545416.55,320759.79,1402468.9,8552852.61,133843.87,20311607.16,36266948.88
370,Bolaang Mongondow,2019,3648780.37,71205.15,1720848.59,2280321.7,248.59,309060.72,8030465.12
371,Minahasa,2019,7111434.0,829304.0,1936453.0,7622450.74,122.0,-380126.0,17119637.74
372,Kepulauan Sangihe,2019,2157426.04,65556.64,1286576.03,1211149.7,1524.52,-474354.9,4247878.03
373,Kepulauan Talaud,2019,1502688.8,44728.33,928884.18,722788.47,950.84,-992311.07,2207729.55
374,Minahasa Selatan,2019,4114632.41,316230.16,1420533.13,3396338.19,950.63,-649034.44,8599650.08
375,Minahasa Utara,2019,5575803.87,238239.03,1354692.2,6061449.57,151.97,608336.33,13838672.96
376,Bolaang Mongondow Utara,2019,1140308.96,37846.07,718666.81,709330.3,230.0,-118607.43,2487774.7
377,Siau Tagulandang Biaro,2019,1428289.5,163211.14,1020378.67,709669.83,110.75,-954922.26,2366737.63
378,Minahasa Tenggara,2019,2763274.82,154377.97,871350.93,2380837.0,67.38,-1057846.92,5112061.18
379,Bolaang Mongondow Selatan,2019,1028453.66,24111.66,477623.97,546034.81,21.0,7662.67,2083907.77
380,Bolaang Mongondow Timur,2019,1371889.0,29830.97,762271.09,599640.09,156.01,115162.44,2878949.6
381,Kota Manado,2019,15200588.95,549694.3,6423819.81,12437580.45,146.27,2774913.49,37386743.27
382,Kota Bitung,2019,6264690.21,214010.14,1677466.33,4828514.13,1954.77,3322873.98,16309509.56
383,Kota Tomohon,2019,2280085.03,56732.58,1007226.08,2419685.28,799.43,-1474406.21,4290122.19
384,Kota Kotamobagu,2019,2194647.14,61608.41,985699.02,1051826.16,211.52,-599648.27,3694343.99
385,Banggai Kepulauan,2019,2487989.23,35132.3,610540.23,1409275.83,-8322.62,-668947.41,3865667.56
386,Banggai,2019,11122454.86,470069.0,2873496.0,12437563.55,-61764.0,2686113.19,29527932.6
387,Morowali,2019,4903693.63,131439.63,773282.23,18729740.82,-98043.38,20909470.84,45349583.77
388,Poso,2019,5636504.15,150054.66,1713249.78,4194694.06,-71318.04,-2151322.16,9471862.45
389,Donggala,2019,6679522.62,168300.27,1664785.01,4009226.86,-25579.5,-455788.56,12040466.7
390,Toli-Toli,2019,4657006.97,102169.0,1316087.89,2808074.06,-20488.62,-410247.94,8452601.36
391,Buol,2019,3352021.96,71508.11,1079513.86,2237266.23,-5235.86,-1018390.68,5716683.62
392,Parigi Moutong,2019,11086185.52,948741.81,2122288.93,8640836.29,-9725.49,-4943347.46,17844979.6
393,Tojo Una-Una,2019,3226197.0,88697.4,1181615.6,1452504.03,-48195.68,-208971.53,5691846.82
394,Sigi,2019,5419190.16,229147.59,1413150.59,3994521.55,-15230.92,-2061757.13,8979021.84
395,Banggai Laut,2019,1833460.13,21305.38,333276.76,725302.12,-3394.18,-519124.3,2390825.91
396,Morowali Utara,2019,4846793.8,103649.85,896278.54,2435392.6,-38379.18,2847594.97,11091330.58
397,Kota Palu,2019,14978206.9,905187.11,3589814.11,9702713.29,-60491.99,-4082370.62,25033058.8
398,Kepulauan Selayar,2019,3319363.83,76205.41,1003891.51,2769147.41,24738.32,-749121.7,6444224.78
399,Bulukumba,2019,8933300.5,167767.41,1792627.37,3760172.96,17413.56,-456687.86,14214593.94
400,Bantaeng,2019,4717450.69,176397.54,1143435.12,4464587.56,23118.59,-1743944.95,8781044.54
401,Jeneponto,2019,6629639.87,254419.5,1309252.27,3952823.94,15866.13,-2072140.41,10089861.29
402,Takalar,2019,6211994.57,188643.6,1319440.57,2192094.82,89974.9,155198.49,10157346.94
403,Gowa,2019,12843697.76,425540.77,2508298.77,6509230.16,14314.49,-1362085.41,20938996.54
404,Sinjai,2019,6207397.74,158864.67,1176771.93,4298030.64,33214.54,-913654.74,10960624.78
405,Maros,2019,11131281.28,317130.88,1650263.64,5066845.13,-48760.77,4601214.36,22717974.51
406,Pangkajene dan Kepulauan,2019,10596915.22,298062.04,1340272.99,3767746.26,76937.55,9910243.97,25990178.03
407,Barru,2019,4407955.25,51918.64,1055350.64,3351952.75,10287.54,-1606243.99,7271220.83
408,Bone,2019,20031462.85,439057.61,3854310.96,11870768.04,88877.12,-249637.41,36034839.17
409,Soppeng,2019,5833246.53,154418.5,1101009.07,4393254.36,17645.61,-561301.95,10938272.12
410,Wajo,2019,12470903.5,286786.68,1531914.68,6066790.45,-22671.88,-494909.9,19838813.53
411,Sidenreng Rappang,2019,7882294.02,265363.2,1435018.93,5480224.39,-25182.8,-1143993.25,13893724.49
412,Pinrang,2019,11043700.05,187186.88,1559350.62,6971094.61,390923.4,-521935.6,19630319.95
413,Enrekang,2019,4583592.89,103609.02,1286676.27,2813395.17,34586.19,-1523615.53,7298244.01
414,Luwu,2019,9261246.15,185046.05,1415399.06,5795424.81,55125.49,-1054569.48,15657672.08
415,Tana Toraja,2019,4405088.76,136113.96,1195072.73,2539117.47,-2555.71,-793063.58,7479773.62
416,Luwu Utara,2019,7513658.11,155864.1,1425617.3,4124711.48,22942.78,-195462.59,13047331.17
417,Luwu Timur,2019,8894647.35,241501.99,1125944.11,5987966.19,-68935.64,4813095.79,20994219.79
418,Toraja Utara,2019,5586823.7,261794.49,1385088.22,3619404.5,130660.91,-1387419.34,9596352.48
419,Kota Makasar,2019,91405355.17,3296663.52,15669456.14,85679307.64,-408346.85,-17212378.41,178430057.2
420,Kota Parepare,2019,3923662.88,46361.65,981208.79,3067965.43,3800.58,-792598.2,7230401.13
421,Kota Palopo,2019,4453718.16,131520.38,1163621.93,3184575.81,3178.8,-994134.04,7942481.04
422,Buton,2019,2130442.17,52391.23,612527.58,1422275.68,919.8,-380034.16,3838522.3
423,Muna,2019,4414028.32,70693.08,1329051.26,2449818.96,95963.42,-1430931.73,6928623.3
424,Konawe,2019,5568436.03,113677.57,1532485.54,3148492.64,1992.47,-850727.69,9514356.57
425,Kolaka,2019,6386968.42,160678.44,1076570.29,12289830.79,2691.7,5974667.18,25891406.81
426,Konawe Selatan,2019,6576358.05,184478.36,1405842.11,4172146.57,15109.21,-248888.63,12105045.68
427,Bombana,2019,3322981.89,84036.08,752640.97,1996715.68,49845.56,179200.27,6385420.45
428,Wakatobi,2019,2093722.15,71011.93,997997.44,1265815.6,-1613.36,-71078.99,4355854.77
429,Kolaka Utara,2019,3969872.4,74368.43,757849.16,3359469.58,8800.28,503858.59,8674218.43
430,Buton Utara,2019,1359930.65,25901.16,612310.26,1210517.39,6387.95,-84143.28,3130904.14
431,Konawe Utara,2019,1393589.58,54561.97,541611.63,1047698.6,28165.48,860401.65,3926028.91
432,Kolaka Timur,2019,2864590.36,37453.0,448242.91,1669473.58,31009.27,-623616.81,4427152.31
433,Konawe Kepulauan,2019,730831.9,16408.74,464431.43,451674.23,8865.36,-287810.89,1384400.77
434,Muna Barat,2019,2238579.87,32797.68,425038.79,1192015.87,20881.1,-1320307.87,2589005.44
435,Buton Tengah,2019,1444867.15,28735.51,335516.68,951450.0,913.08,-424240.28,2337242.14
436,Buton Selatan,2019,1671713.77,35015.49,394151.24,1117038.1,1183.33,-314072.91,2905029.02
437,Kota Kendari,2019,12284748.05,217429.77,5853568.25,9318543.26,-498552.3,-5022230.39,22153506.64
438,Kota Baubau,2019,5239617.49,104763.98,1359467.1,4118439.06,174596.44,-1959052.79,9037831.28
439,Boalemo,2019,3274094.72,30861.26,1028329.01,1042549.96,147958.47,-112611.65,5411181.78
440,Gorontalo,2019,8086079.25,108739.66,2014382.01,4308307.96,227481.69,-1864151.26,12880839.3
441,Pohuwato,2019,3766626.54,38638.69,1042742.88,1298731.3,161583.96,313565.65,6621889.02
442,Bone Bolango,2019,2818863.83,27751.33,1205060.06,1216474.22,138546.38,-828449.98,4578245.84
443,Gorontalo Utara,2019,2037393.4,53089.45,710433.27,1009768.39,62391.92,-504027.3,3369049.12
444,Kota Gorontalo,2019,5532674.64,54040.08,2809655.68,2848474.69,171970.0,-2964039.42,8452775.68
445,Majene,2019,2989376.17,55646.19,1102436.74,1346245.1,-80598.05,-442367.6,4970738.55
446,Polewali Mandar,2019,7740021.12,72962.71,1731103.3,3541991.68,434686.27,-150906.27,13369858.8
447,Mamasa,2019,2056296.5,55087.39,964365.05,872625.25,-72597.83,-898009.94,2977766.41
448,Mamuju,2019,5753193.32,85388.92,2912160.29,3718264.02,355212.52,-1102524.52,11721694.55
449,Mamuju Utara,2019,2802573.31,47747.72,769081.52,3545748.09,-291322.42,3220323.08,10094151.31
450,Mamuju Tengah,2019,1881444.72,37312.75,517528.09,806948.16,94434.22,-191277.09,3146390.86
451,Maluku Tenggara Barat,2019,2142487.25,108315.23,1462193.75,1415062.16,34635.9,-2478450.47,2684243.81
452,Maluku Tenggara,2019,2059538.89,78573.17,1291243.96,1226263.0,27828.55,-1458328.41,3225119.16
453,Maluku Tengah,2019,7194916.52,236884.53,2839750.81,2166764.45,29879.83,-3808477.59,8659718.56
454,Buru,2019,2028596.81,68257.12,1183312.75,1066285.7,19031.98,-1961412.6,2404071.76
455,Kepulauan Aru,2019,1643233.16,72736.4,1045084.13,1121234.95,13577.27,-419726.37,3476139.55
456,Seram Bagian Barat,2019,2406833.25,75804.46,1569359.94,1505480.91,32872.02,-2588679.59,3001670.99
457,Seram Bagian Timur,2019,1714508.39,44783.36,1486983.08,1122514.76,18327.4,-1482718.53,2904398.46
458,Maluku Barat Daya,2019,1073224.6,27494.73,929521.61,718485.0,13391.44,-1116585.55,1645531.83
459,Buru Selatan,2019,1206589.66,46045.35,993013.68,739984.73,22641.47,-1602396.02,1405878.87
460,Kota Ambon,2019,9707712.33,336075.43,4626145.32,3447587.76,26224.88,-3335026.79,14808718.93
461,Kota Tual,2019,1637883.38,49506.46,920817.86,852618.49,21830.19,-1025339.06,2457317.31
462,Halmahera Barat,2019,1331389.78,95975.41,780322.38,477341.02,12658.65,-455122.2,2242565.04
463,Halmahera Tengah,2019,800033.91,36247.18,755013.13,2054886.61,-6151.48,-1223042.62,2416986.73
464,Kepulauan Sula,2019,1374484.4,18379.62,603953.33,571667.97,10824.2,-94852.61,2484456.92
465,Halmahera Selatan,2019,3401069.86,42861.3,1093884.52,7922479.96,-68941.19,-5169930.35,7221424.1
466,Halmahera Utara,2019,2944958.24,81712.72,1285446.01,1726001.38,-26896.23,-418763.5,5592458.62
467,Halmahera Timur,2019,1500546.7,88190.47,949871.87,1872067.9,-7674.8,-918407.39,3484594.74
468,Pulau Morotai,2019,782935.05,8924.77,368273.11,550428.93,15776.26,-197876.58,1528461.54
469,Pulau Taliabu,2019,628285.02,2268.41,205083.72,843311.67,-9672.43,-219995.42,1449280.97
470,Kota Ternate,2019,6925790.91,149444.5,3614712.19,1662968.64,-20109.18,-1700557.48,10632249.58
471,Kota Tidore Kepulauan,2019,1514248.18,52488.46,2723408.86,716728.0,-6378.16,-2120011.17,2880484.17
472,Fakfak,2019,2786710.39,84660.93,2086879.25,1820509.45,150518.17,-1665878.18,5263400.01
473,Kaimana,2019,1093942.82,61576.1,1620985.15,843922.52,195841.05,-1076263.17,2740004.47
474,Teluk Wondama,2019,509232.43,32170.54,778298.88,466378.22,-2019.91,-222821.67,1561238.5
475,Teluk Bintuni,2019,1236263.84,54404.11,1509276.66,3277514.74,-983180.05,26238165.28,31332444.58
476,Manokwari,2019,4534008.68,229200.5,2980543.61,4167067.83,64414.72,-2208160.42,9767074.92
477,Sorong Selatan,2019,752535.48,45252.81,982687.16,684021.3,32036.82,-588408.96,1908124.62
478,Sorong,2019,2860310.34,142532.68,2004808.29,2022255.26,175792.71,3860703.01,11066402.29
479,Raja Ampat,2019,980662.45,49465.84,993858.17,568275.82,55584.49,312342.77,2960189.55
480,Tambrauw,2019,89735.35,8037.94,165036.56,63766.09,11654.2,-102041.36,236188.78
481,Maybrat,2019,605875.47,23310.25,652571.18,164169.01,52.15,-711099.35,734878.72
482,Manokwari Selatan,2019,585650.14,20333.31,334865.16,58402.82,27274.2,-181831.89,844693.73
483,Pegunungan Arfak,2019,117540.18,2569.0,121031.37,30711.12,597.47,-64978.78,207470.35
484,Kota Sorong,2019,8248098.59,127395.88,2701674.34,4037046.96,1137485.67,-355990.63,15895710.81
485,Merauke,2019,10870672.1,164667.48,2989595.73,3831150.45,20812.74,-1853763.16,16023135.34
486,Jayawijaya,2019,7447235.92,64266.91,1862422.03,3935145.23,9216.19,-4986747.02,8331539.26
487,Jayapura,2019,7845559.93,135893.83,2891955.51,4147990.4,9532.92,1350373.53,16381306.12
488,Nabire,2019,7561639.01,252862.28,1684879.73,2403313.57,9937.57,-828412.11,11084220.05
489,Kepulauan Yapen,2019,3020027.56,175553.65,655290.83,945930.36,2150.96,-548388.34,4250565.02
490,Biak Numfor,2019,4398873.47,315775.82,1331157.13,1015299.2,6822.44,-1581820.52,5486107.53
491,Paniai,2019,3335811.18,11772.74,1121992.52,1786797.07,4751.46,-2079328.43,4181796.55
492,Puncak Jaya,2019,1254384.74,45197.05,615913.29,597487.4,4171.54,-1112526.75,1404627.28
493,Mimika,2019,12404563.87,300885.62,4298701.62,18821666.37,-2623621.56,21632344.37,54834540.28
494,Boven Digoel,2019,3204126.38,35766.55,800731.41,1937923.77,17517.55,-1177901.87,4818163.77
495,Mappi,2019,2292316.81,48342.36,1005452.59,1467069.39,9314.89,-1864813.07,2957682.98
496,Asmat,2019,2176891.14,37587.95,1252036.86,1251374.23,1231.11,-2248287.07,2470834.23
497,Yahukimo,2019,1944646.76,22337.97,991799.65,1260094.36,8058.66,-1804770.57,2422166.84
498,Pegunungan Bintang,2019,1547171.39,16335.41,585641.27,813756.22,4787.52,-1054082.82,1913609.0
499,Tolikara,2019,1372051.36,18043.79,700745.91,760696.57,784.89,-1259108.47,1593214.05
500,Sarmi,2019,2037305.86,19602.86,984170.48,1330418.22,7145.34,-1558950.88,2819691.88
501,Keerom,2019,2107309.29,31244.26,913666.87,1369958.2,1354.56,-1567763.53,2855769.65
502,Waropen,2019,1372640.86,42678.85,771190.75,998003.33,3888.49,-1135615.44,2052786.84
503,Supiori,2019,919052.52,64631.45,369312.32,628098.47,3301.34,-975213.85,1009182.25
504,Mamberamo Raya,2019,1165359.78,24405.13,534756.29,805924.36,2833.1,-886732.19,1646546.47
505,Nduga,2019,1028199.93,3841.35,461593.81,623835.98,1223.66,-902125.17,1216569.56
506,Lanny Jaya,2019,1523518.34,26762.29,647187.22,813878.21,-9.16,-1182470.35,1828866.55
507,Mamberamo Tengah,2019,960548.95,10287.82,463673.12,569651.59,1833.92,-842345.14,1163650.26
508,Yalimo,2019,937283.7,10352.68,406947.15,583944.68,326.77,-717421.09,1221433.89
509,Puncak,2019,1195368.56,18130.3,482540.88,752994.91,16565.97,-1064788.44,1400812.17
510,Dogiyai,2019,1167895.57,30623.65,552555.49,572673.12,-84.66,-1010431.3,1313231.87
511,Intan Jaya,2019,868494.11,6591.18,436135.27,609045.28,2364.36,-673971.47,1248658.73
512,Deiyai,2019,1012814.54,4705.12,470922.08,582133.63,2590.48,-684028.93,1389136.93
513,Kota Jayapura,2019,15828517.19,2790718.25,12909964.66,13759136.41,37091.89,-12999680.91,32325747.5
514,Simeulue,2020,1620011.53,94494.53,769769.81,1041167.37,5692.95,-1256774.25,2274361.94
515,Aceh Singkil,2020,1674417.02,47551.0,826561.05,821820.43,31064.09,-978802.1,2422611.49
516,Aceh Selatan,2020,3769352.99,106604.46,1238782.56,2004090.28,15108.45,-1603184.15,5530754.59
517,Aceh Tenggara,2020,3855130.07,204732.79,1293500.48,1478286.62,145612.17,-1918733.34,5058528.79
518,Aceh Timur,2020,8155930.46,316863.95,1469170.4,3929594.53,188613.87,-3454388.58,10605784.63
519,Aceh Tengah,2020,3428199.72,126222.25,1210434.74,3194338.96,35071.0,-606896.77,7387369.9
