Padang Pariaman;12467116.89;13387747.71;249024.32;276004.82;1773967.38;1812957.13;6717969.85;7472674.51;131496.85;6120.85;853772.12;2115344.98;22193347.41;25070850
Agam;13028083.34;13948913.44;250942.13;276213.74;1643635.71;1685306.79;6945132.6;7883117.37;36341.93;-30113.53;2020200.55;2399220.85;23924336.26;26162658.67
Lima Puluh Kota;9812910.71;10484749.9;183874.45;201350.91;1432655.05;1444382.58;5465024.73;6121403;17079.69;12366.83;989061.16;1339942.87;17900605.78;19604196.1
Pasaman;5608827.82;6002731.39;110303.58;121605.16;1087650.99;1108611.59;3137625.64;3479100.89;50628.01;12728.34;395541.61;635580.7;10390577.65;11360358.08
Solok Selatan;3561605.92;3807876.51;73245.69;80533.52;669317.63;675871.71;1879737.91;2085935.59;12707.46;-7868.06;234121.83;402065.71;6430736.43;7044414.98
Dharmasraya;6811290.13;7288212.05;118079.85;132696.98;1017321.93;1037216.79;3480907.53;3886625.52;43303.04;-72797.82;762565.9;1073815.74;12233468.38;13345769.26
Pasaman Barat;10203841.86;10885476.9;210102.52;230216.28;1422434.26;1432992.35;5464843.07;6088413.8;86671.24;-126313.16;487932.59;1034010.29;17875825.53;19544796.46
Kota Padang;36646836.55;39329658.24;775481.65;866416.68;8959132.79;9037432.09;20965804.84;23025404.87;172273.35;-527612;5459422.54;7973373.35;72978951.71;79704673.23
Kota Solok;2453653.3;2629961.06;47432.77;52354.8;686633.62;699856.07;1248545.39;1379550.86;9486.61;-8757.33;347401.4;509132.79;4793153.11;5262098.25
Kota Sawah Lunto;2385065.83;2556268.38;46018.5;50894.84;680562.18;682492.31;1121978.22;1242010.72;10026.53;12992.6;146113.65;280637.01;4389764.91;4825295.86
Kota Padang Panjang;2147209.28;2289095.49;43270.02;48558.67;654849.63;659420.87;1239215.13;1337117.31;4482.89;-2724.97;-2480.85;142617.24;4086546.1;4474084.62
Kota Bukittinggi;5472803.3;5832542.02;92247.49;102527.43;1157753.79;1165137.26;2756139.8;3056483.53;27757.36;-17787.96;687318.83;992679.39;10194020.58;11131581.67
Kota Payakumbuh;3762595.54;4020504.38;69108.83;76806.3;863746.48;908946.28;1982713.52;2181218.61;27764.34;-5279.92;1544373.24;1800156.98;8250301.95;8982352.63
Kota Pariaman;3106007.2;3330346.18;64878.35;72382.83;696219.75;703808.45;1593473.64;1745648.99;16550.23;305.74;404723.75;582627.58;5881852.94;6435119.77
Kuantan Singingi;17369235.6;18626021.57;189425.89;214633.75;1398775.7;1464631.25;18156081.8;18576719.45;79270.83;79598.87;7717013.17;8688965.73;44909802.98;47650570.62
Indragiri Hulu;19934382.78;21583879.3;266676.75;295761.25;1684044.33;1682830.8;19491980.9;20529446.02;75730.37;159103.63;12731933.86;12230967;54184748.98;56481988.01
Indragiri Hilir;33574647.2;35852526.73;469389.65;527643.74;1882024.45;2035587.17;18109678.9;19510039.42;146114.35;110219.42;28981891.48;29510354.72;83163746.03;87546371.2
Pelalawan;17398939.46;18649610.88;211358.76;247954.88;1348784.19;1486171.47;11469789.74;12377686.5;78901.39;71642.91;35045434.62;37688554;65553208.16;70521620.64
Siak;24133870.63;26092565.8;286451.91;325298.58;2137822.2;2356691.4;25967826.62;27421026.47;79458.86;108758.3;54389643.63;53619030.66;106995073.8;109923371.2
Kampar;42804529.47;46122931.02;539974.8;598192.43;2718675.98;3034458.59;34538976.4;37087808.19;104324.89;167357.16;22843089.71;19918243.97;103549571.3;106928991.4
Rokan Hulu;27905726.57;30319675.74;369837.06;409451.28;1362784.04;1423969.99;11418611.34;12057569.91;65413.29;86765.22;8492003.61;7859148.07;49614375.92;52156580.21
Bengkalis;33200131.62;35779434.88;399424.6;438419.09;3411904.64;3791083.93;31546406.08;33971628.1;101383.47;144113.41;107313206.6;94511165.73;175972457;168635845.1
Rokan Hilir;28350119.09;30647303.34;407544.21;449624.39;1812031.45;1955824.22;9722668.66;10171374.53;52922.59;52661.69;55739165.43;51463451.4;96084451.44;94740239.58
Kepulauan Meranti;8288480.43;9345320.61;164458.74;192948.72;600787.11;641840.45;5515811.33;5868055.41;32976.82;63032.06;10293767.28;9497395.66;24896281.72;25608592.91
Kota Pekanbaru;71615481.04;77846671.25;1423751.87;1612820.57;9987650.43;10873107.91;116404123.4;124332590.2;518159.58;1003283.76;-55389896.52;-55707800.19;144559269.8;159960673.5
Kota Dumai;14400691.97;15567627.77;194676.78;219477.3;2452593.4;2753221.63;18785813.34;19967222.54;57243.78;139658.4;9161790.59;10387078.24;45052809.86;49034285.87
Kerinci;6355382.51;6855619.43;68890.62;78134.89;1361965.28;1421328.55;3190099.19;3869018.34;48678.81;54041.71;1200605.42;1127205.84;12225621.82;13405348.76
Merangin;11523906.96;12534615.64;64855.35;73143.81;1269890.31;1347784.41;4369630.36;4930061.86;66226.71;67608.72;2989330.14;3661313.52;20283839.83;22524527.97
Sarolangun;9829076.45;10606216.75;99166.41;113821.28;1044327.34;1124922.17;6765722.67;7454144.5;46032.39;51709.43;2988118.12;2157912.1;20772443.39;21508726.22
Batang Hari;9537316.45;10302627.94;79048.5;91497.54;1240664.61;1288757.17;4568955.19;5177262.29;92992.62;105625.59;8785308.19;8482841.07;24304285.57;25448611.61
Muaro Jambi;12458174.79;13507445.12;127564.64;144877.99;1824793.23;1906075.13;5197702.48;6673242.81;417925.45;421491.51;12931860.38;13231710.13;32958020.97;35884842.69
Tanjung Jabung Timur;7066911.49;7647867.22;101073.75;114696.53;1343382;1392448.85;4151671.23;5019275.33;175979.93;187210.27;12767174.71;10711116.35;25606193.11;25072614.55
Tanjung Jabung Barat;11382030.6;12349330.63;98216.3;112334.51;1177481.81;1235660.85;6307243.92;7506980.32;338325.54;371729.68;30778280.2;29276237.38;50081578.37;50852273.36
Tebo;9474353.72;10203828.04;114172.94;127962.18;1004249.79;1043003.65;4029443.56;4438848.62;93725.61;99077.5;4982201.56;5270776.03;19698147.19;21183496.01
Bungo;11760794.4;12639182.5;121958.34;140020.33;1255867.75;1319692.54;6371306.82;7027038.84;146849.54;155532.08;5240449.37;4953307.31;24897226.21;26234773.6
Kota Jambi;20755163.69;22429553.33;573814.3;653437.92;6809512.64;7188390.47;7867741.23;8662865.49;448779.32;507656.63;-271176.09;1138719.45;36183835.1;40580623.29
Kota Sungai Penuh;3871197.85;4208195.62;53719.22;64168.22;580140.94;614511.86;2182447.94;2467850.94;160514.8;185234.8;1831071.35;1935177.25;8679092.1;9475138.69
Ogan Komering Ulu;12129585.92;13151501.85;256627.6;274358.88;1305209.71;1364360.94;6395334.46;6585701.11;60803.07;27688.71;-2533812.62;-2384242.98;17613748.14;19019368.51
Ogan Komering Ilir;21891814.73;24012331.86;499484.52;550919.84;2349736.06;2547700.97;10803020.67;11937688.35;16214.59;16434.25;-1320927.77;-1669832.07;34239342.79;37395243.2
Muara Enim;42818263.46;47755305.34;1278373.73;1438774.91;2619454.03;2773596.86;16871074.7;18044922.45;437382.36;107118.09;49552916.47;48397788.2;113577464.8;118517505.8
Lahat;15158832.55;16412501.28;364025.5;398789.15;3042855.34;3280132.83;6796598.19;7095917.72;30001.34;46110.17;2442166.03;2055439.43;27834478.95;29288890.57
Musi Rawas;15609528.3;16688393.58;292128.74;316633.65;1803762.67;1971202.57;5361405.12;5582125.94;-441273.5;-463023.84;-283434.5;-568780.72;22342116.84;23526551.18
Musi Banyuasin;54185532.2;60301337.85;1444377.67;1636795.9;4185247.03;4502211.13;21686550.54;23104337.12;-6561.5;102766.99;936393.92;-3876378.65;82431539.85;85771070.34
Banyu Asin;23147360.32;25657494.22;461651.97;512890.1;2146624.88;2383524.34;9265384.61;9824180.25;-38904.24;-46931.07;-539351.87;-891642.62;34442765.67;37439515.22
Ogan Komering Ulu Selatan;6796102.68;7332310.97;122236.84;130405.83;1225471.72;1320752.61;3308403.58;3411398.86;-74766.13;35321.56;-1048950.65;-1139794.83;10328498.04;11090394.99
Ogan Komering Ulu Timur;12748469.22;14044471.58;217996.87;245493.65;1652516.16;1829608.44;5934040.68;6301472.37;7949.28;8513.08;-2728130.19;-2964638.46;17832842.01;19464920.67
Ogan Ilir;8174958.44;8762130.61;185234.98;215571.74;1564524.86;1634776.85;3668609.64;3901256.81;-431.32;672.24;-341981.5;-263602.4;13250915.1;14250805.84
Empat Lawang;3652898;3993175.47;99433.3;107708.51;885014;952396.23;1755594.1;1834611.06;67962.1;53125.4;-622934.49;-638118.41;5837967.01;6302898.26
Penukal Abab Lematang Ilir;5476866.77;5936962.65;149681.54;167611.97;367031.83;392097.82;2525331.14;2638492.57;343.27;1351.52;-324509.61;-417440.63;8194744.93;8719075.9
Musi Rawas Utara;6425227.06;6836024.56;117780.65;122703.8;719246.03;792215.11;2267265.57;2402553.13;-6921.94;-8906.28;-974083.25;-1077518.48;8548514.12;9067071.83
Kota Palembang;109142418.7;118924601.6;2283391.29;2599793.03;8528520.79;9081294.66;78932626.78;83912220.97;-219642.08;25657.71;-19560510.85;-19973965.84;179106804.7;194569602.2
Kota Prabumulih;5924563.97;6343902.2;144413.3;158846.98;1060527.51;1125490.46;3466283.19;3561650.2;34566.32;33385.54;-1421857.01;-1389142.1;9208497.28;9834133.28
Kota Pagar Alam;2566875.11;2768215.53;64851.87;71584.76;504251.55;541800.75;1191595.91;1239916.23;64889.6;31404.29;-1136535.59;-1162390.34;3255928.46;3490531.21
Kota Lubuklinggau;4842192.8;5284216.94;125849.55;135575.48;826151.22;858268.72;3078065.17;3169149.83;65935.46;31825.58;-1250347.65;-1245323.83;7687846.55;8233712.73
Bengkulu Selatan;4078952.67;4480282.8;160914.9;185620.31;1282221.21;1409285.48;2688119.25;2874619.33;25234.68;-44888.14;-1522641.29;-1703772.59;6712801.42;7201147.21
Rejang Lebong;6853641.73;7527106.49;205318.92;237610.22;1284976.03;1424235.81;3859478.71;4094946.61;11903;-69348.41;-1222494.57;-1315436.23;10992823.83;11899114.5
Bengkulu Utara;6196518.58;6754629.33;165392.26;189115.31;1311969.72;1429074.16;4458794.21;4722254.88;279924.97;-75938.71;-93949.35;-528587.56;12318650.39;12490547.4
Kaur;2643866.08;2868830.24;97860.38;113161.3;829455.19;902212.95;2547716.72;2694588.76;3610.48;-20968.53;-1895906.23;-2010128.12;4226602.61;4547696.61
Seluma;3420450.87;3703129.41;76569.73;89005.54;888920.98;948280.97;3049460.21;3190314.76;4206.98;-34443.51;-2003109.07;-2127412.45;5436499.7;5768874.72
Mukomuko;3879643.24;4276922.54;140799.25;164409.08;871136.63;959852.06;3525855.71;3771938.48;3512.49;-21120.78;-2203759.33;-2352401.16;6217187.99;6799600.22
