,Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
777,Kota Surabaya,2023,431978167.6,6223495.55,23756117.19,191005511.7,6874939.37,55456475.77,715294707.2
778,Kota Batu,2023,13680575.72,504666.36,1360877.12,6438581.09,878.88,-1461259.64,20524319.54
779,Pandeglang,2023,22865873.59,541493.74,2645031.56,2828051.8,8306.93,5129300.21,34018057.83
780,Lebak,2023,25860333.16,633015.63,2709299.35,2184894.62,47.44,4183405.53,35570995.73
781,Tangerang,2023,88641195.83,811729.66,6001089.65,46853056.17,49843.77,30945748.91,173302664.0
782,Serang,2023,50856908.65,567127.84,2527214.65,37131542.1,15761.1,3981883.2,95080437.53
783,Kota Tangerang,2023,115605172.2,490712.39,4182987.34,69910134.04,53162.35,16355167.87,206597336.2
784,Kota Cilegon,2023,26323123.18,73987.65,1909247.08,59707989.18,1878.02,41516199.27,129532424.4
785,Kota Serang,2023,27328600.97,130879.87,11622518.53,14337813.33,-4224.79,-13577398.1,39838189.82
786,Kota Tangerang Selatan,2023,72285425.38,197808.35,1579862.74,48343163.65,-94523.37,-17924050.37,104387686.4
787,Jembrana,2023,8792292.92,308813.15,1646861.39,3835990.21,21223.05,1007696.23,15612876.95
788,Tabanan,2023,15508268.03,484981.4,2647096.54,4792399.99,10842.68,2087340.31,25530928.95
789,Badung,2023,30157921.72,448840.02,4800634.64,22116276.72,57301.67,10816587.13,68397561.91
790,Gianyar,2023,17185489.95,354082.72,2203800.72,10309515.43,17375.66,459151.79,30529416.26
791,Klungkung,2023,5671144.63,176457.29,1519188.14,3007068.37,7968.09,-301611.15,10080215.38
792,Bangli,2023,5032804.79,162430.43,1337175.52,2866083.05,8524.17,-1498708.45,7908309.5
793,Karangasem,2023,11972213.95,448264.61,1783490.88,2682798.63,15022.12,2072885.23,18974675.4
794,Buleleng,2023,21427081.36,836361.07,3559733.64,9007782.79,21440.01,3498707.23,38351106.1
795,Kota Denpasar,2023,30704584.51,1135018.72,8340083.46,19066386.23,40100.81,814127.92,60100301.66
796,Lombok Barat,2023,13326046.56,395705.09,2558965.82,6604496.4,45691.58,-4809898.39,18121007.06
797,Lombok Tengah,2023,14789221.32,263616.98,2611031.69,10646118.35,19939.43,-7079303.08,21250624.69
798,Lombok Timur,2023,17902459.84,780343.52,3424382.64,9226325.3,90797.73,-6846567.95,24577741.08
799,Sumbawa,2023,12043890.75,254870.07,2216374.29,7133049.6,51811.26,-4189563.15,17510432.82
800,Dompu,2023,5687507.57,136871.36,1916272.3,3370827.01,16637.76,-2617460.07,8510655.92
801,Bima,2023,9312780.9,221802.41,2490707.84,5293127.2,33229.52,-3404985.58,13946662.28
802,Sumbawa Barat,2023,4150415.58,170090.27,1541444.6,6647661.25,35990.65,17096071.16,29641673.52
803,Lombok Utara,2023,4137580.22,80419.74,1426866.05,2265076.94,17173.61,-2368330.26,5558786.31
804,Kota Mataram,2023,13988147.85,328648.41,3354470.89,8710957.42,29243.77,-3630505.95,22780962.39
805,Kota Bima,2023,3187169.72,101267.97,1578436.46,1734011.21,-1063.78,-1613501.75,4986319.82
806,Sumba Barat,2023,2047019.52,93970.53,841102.56,1028472.91,59277.82,-1284153.91,2785689.42
807,Sumba Timur,2023,4236803.12,261125.19,1566855.07,3028929.43,70896.63,-1836205.11,7328404.32
808,Kupang,2023,4638528.09,263204.87,1885709.86,3366918.89,3938.37,-1000665.28,9157634.81
809,Timor Tengah Selatan,2023,6626235.99,197705.49,1464235.71,3198132.54,88777.35,-2078880.82,9496206.27
810,Timor Tengah Utara,2023,3472194.64,189519.58,888445.25,2292503.39,73892.74,-2097111.1,4819444.49
811,Belu,2023,3628814.23,114175.52,1136841.02,2174186.29,107084.62,-1680553.02,5480548.66
812,Alor,2023,2659298.69,114952.5,1297842.98,1649754.03,30142.97,-2116392.02,3635599.14
