Job Title,Company Name,Location,URL,Company Location,company size,Industry_stats,Job Qualifications,Job Skills,Job Skills,Job Skills,Profile,Skills,Type,Work Hours,,
Senior Data Scientist- User Centric Analytics,Grab,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4014355649&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Jakarta, Indonesia","5,001-10,000 employees","Software Development  5,001-10,000 employees   47,064 on LinkedIn","Apache Spark, Artificial Intelligence (AI), Computer Science, Data Science, Mathematics,Prediction, Python (Programming Language), Statistical Analysis, Statistical Modeling, TensorFlow",2 school alumni work here,,"Skills: Data Science, Prediction, +8 more",Grab,,Hybrid,Full-time,,
Data Analyst,ASTRO,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4002197158&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Jakarta, Indonesia",201-500 employees,"Technology, Information and Internet  201-500 employees   1,316 on LinkedIn","Attention to Detail, Business Analytics, Critical Thinking, Data Analysis, MySQL, Python (Programming Language), and Statistical Tools","Skills: Statistical Tools, Data Analysis, +5 more",Bachelor's Degree,Try Premium for IDR0,ASTRO,Bachelor's Degree,On-site,Full-time,,
Machine Learning Engineer (Product),Traveloka,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3909120263&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Artificial Intelligence (AI), Business Requirements, Data Science, Interpersonal Communication, MLflow, Machine Learning, Pattern Recognition, Scikit-Learn, Technical SpecsTensorFlow",3 school alumni work here,"Artificial Intelligence (AI), Business Requirements, Data Science, Interpersonal Communication, MLflow, Machine Learning, Pattern Recognition, Scikit-Learn, Technical Specs, and TensorFlow","Skills: Technical Specs, Pattern Recognition, +8 more",Traveloka,"Artificial Intelligence (AI), Business Requirements, Data Science, Interpersonal Communication, MLflow, Machine Learning, Pattern Recognition, Scikit-Learn, Technical Specs, and TensorFlow",On-site,Full-time,,
"Artificial Intelligence Engineer, 2 Hour Learning (Remote) - $100,000/year USD",Crossover,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4017079765&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Jakarta, Jakarta, Indonesia","5,001-10,000 employees","IT Services and IT Consulting  5,001-10,000 employees   2,665 on LinkedIn","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js","Skills: Svelte, Flask, +8 more","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, and Vue.js",Try Premium for IDR0,Crossover,"Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, and Vue.js",Remote  ,Full-time,,
User Champion,RushOwl,Indonesia,https://www.linkedin.com/jobs/search/?currentJobId=3989110785&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,Indonesia,11-50 employees,Urban Transit Services  11-50 employees   40 on LinkedIn,"Communication, Creative Problem Solving, Customer Interaction, Customer Satisfaction, Customer Support, Interpersonal Communication, Macros, and Performance Oriented","Skills: Performance Oriented, Customer Satisfaction, +6 more",Accept a background check,Try Premium for IDR0,RushOwl,Accept a background check,Remote,Full-time,,
Senior Account Manager - Mining Sector,Esri Indonesia,"South Jakarta, Jakarta, Indonesia",https://www.linkedin.com/jobs/search/?currentJobId=3999644462&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,"South Jakarta, Jakarta, Indonesia",,,"Account Management, Coal Mining, Enterprise Resource Planning (ERP), Enterprise Software, Geographic Information Systems (GIS), Mineral Exploration, Mining, Sales, Software Sales, Software as a Service (SaaS), Solution Selling","Skills: Account Management, Coal Mining, +9 more",,Try Premium for IDR0,,,On-site,Full-time,,
Senior Data Scientist,Traveloka,Jakarta Metropolitan Area,https://www.linkedin.com/jobs/search/?currentJobId=3987506333&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Business Requirements, Data Management, Data Manipulation, Data Science, Interpersonal Communication, Machine Learning, SQL, Scikit-Learn, Technical Requirements, Technical Specs",3 school alumni work here,,"Skills: Data Manipulation, Data Science, +8 more",Traveloka,,On-site,Full-time,,
Full Stack Engineer (Django+Vue.JS),Quant Reports,"Denpasar, Bali, Indonesia",https://www.linkedin.com/jobs/search/?currentJobId=4014192628&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,"Denpasar, Bali, Indonesia",11-50 employees,Financial Services  11-50 employees   7 on LinkedIn,"Cascading Style Sheets (CSS), Django, Full-Stack Development, HTML, Programming, SASS, Software Development, Vue.js, Web Applications, and Web Development","Skills: Cascading Style Sheets (CSS), Web Applications, +8 more",3+ years of work experience with Django,Try Premium for IDR0,Quant Reports,3+ years of work experience with Django,Hybrid,Full-time,,
Software Engineer,Match Made,"Jakarta, Indonesia",https://www.linkedin.com/jobs/search/?currentJobId=3986196797&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,"Jakarta, Indonesia",2-10 employees,Software Development  2-10 employees   27 on LinkedIn,"Computer Science, Programming, Programming Languages, Software Development, and Web Applications","Skills: Web Applications, Software Development, +3 more","Computer Science, Programming, Programming Languages, Software Development, and Web Applications",Try Premium for IDR0,Match Made,"Computer Science, Programming, Programming Languages, Software Development, and Web Applications",Hybrid,Full-time,,
Manager - Artificial Intelligence & Data - ID,Deloitte,Jakarta Metropolitan Area,https://www.linkedin.com/jobs/search/?currentJobId=3975013615&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,Jakarta Metropolitan Area,"10,001+ employees","Business Consulting and Services  10,001+ employees   437,408 on LinkedIn","Analytics, Big Four Accounting Firms, Data Ingestion, ETL Tools, Extract, Transform, Load (ETL), Google Cloud Dataflow, Problem Solving, Project Teams, Service Orientation (Social), Strategy to Execution",2 school alumni work here,"Analytics, Big Four Accounting Firms, Data Ingestion, ETL Tools, Extract, Transform, Load (ETL), Google Cloud Dataflow, Interpersonal Communication, Problem Solving, Project Teams, and Strategy to Execution","Skills: Big Four Accounting Firms, Data Ingestion, +8 more",Deloitte,"Analytics, Big Four Accounting Firms, Data Ingestion, ETL Tools, Extract, Transform, Load (ETL), Google Cloud Dataflow, Interpersonal Communication, Problem Solving, Project Teams, and Strategy to Execution",On-site,Full-time,,
